ballot_type,form_type,station_id,choice_no,votes,total_ballots,invalid_ballots,no_vote_ballots,name,party,source_page,reviewer_notes
constituency,518,33,3,214,360,23,12,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: ต.บ้านขาม page 1
constituency,518,33,4,7,360,23,12,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: ต.บ้านขาม page 1
constituency,518,33,5,13,360,23,12,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: ต.บ้านขาม page 1
constituency,518,33,6,6,360,23,12,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: ต.บ้านขาม page 1
constituency,518,33,8,13,360,23,12,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: ต.บ้านขาม page 1
constituency,518,46,1,4,226,6,3,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,Verified manually from official ECT 5/18 PDF: ต.ละหาน page 1
constituency,518,46,2,30,226,6,3,นางสาววาสนา อยู่ภักดี,ประชาชน,1,Verified manually from official ECT 5/18 PDF: ต.ละหาน page 1
constituency,518,46,3,168,226,6,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: ต.ละหาน page 1
constituency,518,46,4,2,226,6,3,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: ต.ละหาน page 1
constituency,518,46,5,9,226,6,3,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: ต.ละหาน page 1
constituency,518,46,6,2,226,6,3,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: ต.ละหาน page 1
constituency,518,46,8,2,226,6,3,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: ต.ละหาน page 1
constituency,518,67,1,2,183,7,3,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,Verified manually from official ECT 5/18 PDF: ต.ส้มป่อย page 1
constituency,518,67,2,21,183,7,3,นางสาววาสนา อยู่ภักดี,ประชาชน,1,Verified manually from official ECT 5/18 PDF: ต.ส้มป่อย page 1
constituency,518,67,3,140,183,7,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: ต.ส้มป่อย page 1
constituency,518,67,4,5,183,7,3,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: ต.ส้มป่อย page 1
constituency,518,67,5,2,183,7,3,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: ต.ส้มป่อย page 1
constituency,518,67,6,0,183,7,3,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: ต.ส้มป่อย page 1
constituency,518,67,8,3,183,7,3,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: ต.ส้มป่อย page 1
constituency,518,82,1,1,168,8,4,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,Verified manually from official ECT 5/18 PDF: ต.หนองบัวบาน page 1
constituency,518,82,2,25,168,8,4,นางสาววาสนา อยู่ภักดี,ประชาชน,1,Verified manually from official ECT 5/18 PDF: ต.หนองบัวบาน page 1
constituency,518,82,3,122,168,8,4,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: ต.หนองบัวบาน page 1
constituency,518,82,4,0,168,8,4,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: ต.หนองบัวบาน page 1
constituency,518,82,5,2,168,8,4,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: ต.หนองบัวบาน page 1
constituency,518,82,6,2,168,8,4,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: ต.หนองบัวบาน page 1
constituency,518,82,8,4,168,8,4,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: ต.หนองบัวบาน page 1
